"siteId","assetId","oem","sourceTimestamp","battery_200_DailyWhExp","battery_200_DailyWhExp_dl","battery_200_DailyWhImp","battery_200_DailyWhImp_dl","battery_200_IncWhExp","battery_200_IncWhExp_dl","battery_200_IncWhImp","battery_200_IncWhImp_dl","battery_200_TotWhExp","battery_200_TotWhExp_dl","battery_200_TotWhImp","battery_200_TotWhImp_dl","battery_200_W","battery_200_W_dl","battery_713_SoC","battery_713_SoC_dl","battery_713_SoH","battery_713_SoH_dl","grid_200_DailyWhExp","grid_200_DailyWhExp_dl","grid_200_DailyWhImp","grid_200_DailyWhImp_dl","grid_200_IncWhExp","grid_200_IncWhExp_dl","grid_200_IncWhImp","grid_200_IncWhImp_dl","grid_200_TotWhExp","grid_200_TotWhExp_dl","grid_200_TotWhImp","grid_200_TotWhImp_dl","grid_200_W","grid_200_W_dl","load_200_IncWhExp","load_200_IncWhExp_dl","load_200_IncWhImp","load_200_IncWhImp_dl","load_200_TotWhExp","load_200_TotWhExp_dl","load_200_TotWhImp","load_200_TotWhImp_dl","load_200_W","load_200_W_dl","pv_200_DailyWhExp","pv_200_DailyWhExp_dl","pv_200_IncWhExp","pv_200_IncWhExp_dl","pv_200_IncWhImp","pv_200_IncWhImp_dl","pv_200_TotWhExp","pv_200_TotWhExp_dl","pv_200_TotWhImp","pv_200_TotWhImp_dl","pv_200_W","pv_200_W_dl"
"400001860","400001860","solax","2026-04-01 23:50:01.000","","VALID","","VALID","0","VALID","0","VALID","6,067,800","VALID","3,533,400","VALID","0","VALID","100","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","200","VALID","200","VALID","0","VALID","0","VALID","100","VALID","0","VALID","18,477,200","VALID","1,012","VALID","","VALID","100","VALID","0","VALID","19,300,400","VALID","0","VALID","1,012","VALID"
"400001882","400001882","solax","2026-04-01 23:50:01.000","","VALID","","VALID","0","VALID","0","VALID","5,046,800","VALID","2,997,700","VALID","-585","VALID","58","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","200","VALID","200","VALID","0","VALID","0","VALID","100","VALID","0","VALID","16,645,398","VALID","737","VALID","","VALID","100","VALID","0","VALID","17,224,800","VALID","0","VALID","1,322","VALID"
"400003181","400003181","solax","2026-04-01 23:50:01.000","","VALID","","VALID","0","VALID","0","VALID","2,861,100","VALID","3,153,600","VALID","-83","VALID","47","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","100","VALID","100","VALID","0","VALID","0","VALID","0","VALID","0","VALID","10,686,200","VALID","776","VALID","","VALID","100","VALID","0","VALID","10,978,700","VALID","0","VALID","859","VALID"
"400001859","400001859","solax","2026-04-01 23:55:00.000","","VALID","","VALID","0","VALID","0","VALID","4,849,800","VALID","2,937,300","VALID","-269","VALID","62","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","200","VALID","200","VALID","0","VALID","0","VALID","100","VALID","0","VALID","21,990,800","VALID","744","VALID","","VALID","100","VALID","0","VALID","22,654,600","VALID","0","VALID","1,013","VALID"
"400001477","400001477","solax","2026-04-01 23:55:00.000","","VALID","","VALID","0","VALID","0","VALID","3,398,500","VALID","3,666,800","VALID","0","VALID","99","VALID","","VALID","","VALID","","VALID","100","VALID","0","VALID","2,731,800","VALID","3,230,900","VALID","-2,085","VALID","0","VALID","100","VALID","0","VALID","9,750,300","VALID","604","VALID","","VALID","200","VALID","0","VALID","9,519,500","VALID","0","VALID","2,689","VALID"
"400002030","400002030","solax","2026-04-01 23:55:00.000","","VALID","","VALID","300","VALID","0","VALID","22,738,000","VALID","13,273,300","VALID","3,780","VALID","52","VALID","","VALID","","VALID","","VALID","100","VALID","0","VALID","5,503,000","VALID","136,283,000","VALID","-679","VALID","0","VALID","300","VALID","0","VALID","156,038,200","VALID","3,463","VALID","","VALID","0","VALID","0","VALID","27,672,000","VALID","0","VALID","362","VALID"
"400005001","400005001","solax","2026-04-01 23:55:00.000","","VALID","","VALID","0","VALID","0","VALID","4,541,000","VALID","6,150,200","VALID","-79","VALID","100","VALID","","VALID","","VALID","","VALID","600","VALID","0","VALID","8,756,300","VALID","3,144,600","VALID","-6,777","VALID","0","VALID","0","VALID","0","VALID","12,969,800","VALID","6,900","VALID","","VALID","600","VALID","0","VALID","20,190,700","VALID","0","VALID","7,286","VALID"
"400005131","400005131","solax","2026-04-01 23:55:00.000","","VALID","","VALID","0","VALID","0","VALID","4,614,709","VALID","4,884,277","VALID","0","VALID","100","VALID","","VALID","","VALID","","VALID","100","VALID","0","VALID","8,358,100","VALID","9,199,587","VALID","-1,804","VALID","0","VALID","100","VALID","0","VALID","8,206,500","VALID","643","VALID","","VALID","200","VALID","0","VALID","14,179,700","VALID","0","VALID","2,447","VALID"
"400001860","400001860","solax","2026-04-01 23:55:01.000","","VALID","","VALID","0","VALID","0","VALID","6,067,800","VALID","3,533,400","VALID","0","VALID","100","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","200","VALID","200","VALID","0","VALID","0","VALID","100","VALID","0","VALID","18,477,200","VALID","828","VALID","","VALID","100","VALID","0","VALID","19,300,400","VALID","0","VALID","828","VALID"
"400001882","400001882","solax","2026-04-01 23:55:01.000","","VALID","","VALID","0","VALID","100","VALID","5,046,800","VALID","2,997,800","VALID","-296","VALID","58","VALID","","VALID","","VALID","","VALID","0","VALID","0","VALID","200","VALID","200","VALID","0","VALID","0","VALID","100","VALID","0","VALID","16,645,398","VALID","719","VALID","","VALID","100","VALID","0","VALID","17,224,800","VALID","0","VALID","1,015","VALID"
