"tenantId","siteId","assetId","oem","sourceTimestamp","battery_200_DailyWhExp","battery_200_DailyWhImp","battery_200_IncWhExp","battery_200_IncWhImp","battery_200_TotWhExp","battery_200_TotWhImp","battery_200_W","battery_701_DailyWhAbs","battery_701_DailyWhInj","battery_701_Hz","battery_701_IncWhAbs","battery_701_IncWhExp","battery_701_IncWhImp","battery_701_IncWhInj","battery_701_LNV","battery_701_TotWhAbs","battery_701_TotWhInj","battery_701_W","battery_713_SoC","battery_713_SoH","battery_714_DCW","battery_714_DCWhAbs","battery_714_DCWhInj","battery_714_TotWhAbs","battery_714_TotWhInj","grid_200_DailyWhExp","grid_200_DailyWhImp","grid_200_IncWhExp","grid_200_IncWhImp","grid_200_TotWhExp","grid_200_TotWhImp","grid_200_W","inverter_701_DailyWhAbs","inverter_701_DailyWhInj","inverter_701_Hz","inverter_701_LNV","inverter_701_TotWhAbs","inverter_701_TotWhInj","inverter_701_W","load_200_DailyWhExp","load_200_DailyWhImp","load_200_IncWhExp","load_200_IncWhImp","load_200_TotWhExp","load_200_TotWhImp","load_200_W","pv_200_DailyWhExp","pv_200_IncWhExp","pv_200_IncWhImp","pv_200_TotWhExp","pv_200_TotWhImp","pv_200_W","pv_701_DailyWhAbs","pv_701_Hz","pv_701_IncWhAbs","pv_701_IncWhExp","pv_701_IncWhImp","pv_701_IncWhInj","pv_701_LNV","pv_701_TotWhAbs","pv_701_TotWhInj","pv_701_W","pv_714_DCW","pv_714_DCWhAbs","pv_714_DCWhInj","pv_714_IncDCWhAbs","pv_714_IncDCWhInj","time1d","time1mo","time1y","createdAtUTC","is_partial"
"","400001859","400001859","solax","2026-04-01 23:50:00.000","","","0","0","4,849,800","2,937,300","-273","","","","0","","","0","","0","0","","62","","","","","","","","","0","0","200","200","0","","","","","","","","","","0","100","0","21,990,800","751","","100","0","22,654,600","0","1,024","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:55:29.7981539","0"
"","400001860","400001860","solax","2026-04-01 23:50:01.000","","","0","0","6,067,800","3,533,400","0","","","","0","","","0","","0","0","","100","","","","","","","","","0","0","200","200","0","","","","","","","","","","0","100","0","18,477,200","1,012","","100","0","19,300,400","0","1,012","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:55:29.7981539","0"
"","400001882","400001882","solax","2026-04-01 23:50:01.000","","","0","0","5,046,800","2,997,700","-585","","","","0","","","0","","0","0","","58","","","","","","","","","0","0","200","200","0","","","","","","","","","","0","100","0","16,645,398","737","","100","0","17,224,800","0","1,322","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:55:29.7981539","0"
"","400003181","400003181","solax","2026-04-01 23:50:01.000","","","0","0","2,861,100","3,153,600","-83","","","","0","","","0","","0","0","","47","","","","","","","","","0","0","100","100","0","","","","","","","","","","0","0","0","10,686,200","776","","100","0","10,978,700","0","859","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:55:29.7981539","0"
"","400001859","400001859","solax","2026-04-01 23:55:00.000","","","0","0","4,849,800","2,937,300","-269","","","","0","","","0","","0","0","","62","","","","","","","","","0","0","200","200","0","","","","","","","","","","0","100","0","21,990,800","744","","100","0","22,654,600","0","1,013","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-02 00:00:31.1553385","0"
"","400001477","400001477","solax","2026-04-01 23:55:00.000","","","0","0","3,398,500","3,666,800","0","","","","0","","","0","","0","0","","99","","","","","","","","","100","0","2,731,800","3,230,900","-2,085","","","","","","","","","","0","100","0","9,750,300","604","","200","0","9,519,500","0","2,689","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:55:29.7981539","0"
"","400002030","400002030","solax","2026-04-01 23:55:00.000","","","300","0","22,738,000","13,273,300","3,780","","","","0","","","0","","0","0","","52","","","","","","","","","100","0","5,503,000","136,283,000","-679","","","","","","","","","","0","300","0","156,038,200","3,463","","0","0","27,672,000","0","362","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:55:29.7981539","0"
"","400005001","400005001","solax","2026-04-01 23:55:00.000","","","0","0","4,541,000","6,150,200","-79","","","","0","","","0","","0","0","","100","","","","","","","","","600","0","8,756,300","3,144,600","-6,777","","","","","","","","","","0","0","0","12,969,800","6,900","","600","0","20,190,700","0","7,286","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:55:29.7981539","0"
"","400005131","400005131","solax","2026-04-01 23:55:00.000","","","0","0","4,614,709","4,884,277","0","","","","0","","","0","","0","0","","100","","","","","","","","","100","0","8,358,100","9,199,587","-1,804","","","","","","","","","","0","100","0","8,206,500","643","","200","0","14,179,700","0","2,447","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:55:29.7981539","0"
"","400001860","400001860","solax","2026-04-01 23:55:01.000","","","0","0","6,067,800","3,533,400","0","","","","0","","","0","","0","0","","100","","","","","","","","","0","0","200","200","0","","","","","","","","","","0","100","0","18,477,200","828","","100","0","19,300,400","0","828","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-02 00:00:31.1553385","0"
"","400001882","400001882","solax","2026-04-01 23:55:01.000","","","0","100","5,046,800","2,997,800","-296","","","","0","","","0","","0","0","","58","","","","","","","","","0","0","200","200","0","","","","","","","","","","0","100","0","16,645,398","719","","100","0","17,224,800","0","1,015","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-02 00:00:31.1553385","0"
"","400003181","400003181","solax","2026-04-01 23:55:01.000","","","0","0","2,861,100","3,153,600","0","","","","0","","","0","","0","0","","47","","","","","","","","","0","0","100","100","0","","","","","","","","","","0","100","0","10,686,200","782","","0","0","10,978,700","0","782","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-02 00:00:31.1553385","0"
"","400002054","400002054","solax","2026-04-01 23:55:01.000","","","100","0","7,290,400","4,379,300","0","","","","0","","","0","","0","0","","99","","","","","","","","","0","0","8,275,000","5,287,000","-195","","","","","","","","","","0","100","0","20,291,600","1,286","","100","0","24,279,600","0","1,481","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:55:29.7981539","0"
"","400002056","400002056","solax","2026-04-01 23:55:01.000","","","0","0","2,031,200","2,744,400","0","","","","0","","","0","","0","0","","100","","","","","","","","","200","0","12,766,100","1,010,300","-1,479","","","","","","","","","","0","0","0","3,859,600","210","","300","0","16,328,600","0","1,689","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:55:29.7981539","0"
"","400002333","400002333","solax","2026-04-01 23:55:01.000","","","0","0","2,214,400","2,437,000","-514","","","","0","","","0","","0","0","","29","","","","","","","","","0","0","4,604,700","4,160,200","0","","","","","","","","","","0","0","0","3,492,200","13","","100","0","4,159,300","0","527","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:55:29.7981539","0"
"","400003690","400003690","solax","2026-04-01 23:55:01.000","","","0","0","6,541,899","5,420,000","3","","","","0","","","0","","0","0","","99","","","","","","","","","100","0","32,138,800","18,185,000","-1,342","","","","","","","","","","0","100","0","45,964,499","1,261","","200","0","51,949,700","0","2,216","","","0","","","0","","0","0","","","0","0","0","0","1","4","2,026","2026-04-01 23:55:29.7981539","0"
