"tenantId","siteId","assetId","oem","sourceTimestamp","battery_200_DailyWhExp","battery_200_DailyWhImp","battery_200_IncWhExp","battery_200_IncWhImp","battery_200_TotWhExp","battery_200_TotWhImp","battery_200_W","battery_701_DailyWhAbs","battery_701_DailyWhInj","battery_701_Hz","battery_701_IncWhAbs","battery_701_IncWhExp","battery_701_IncWhImp","battery_701_IncWhInj","battery_701_LNV","battery_701_TotWhAbs","battery_701_TotWhInj","battery_701_W","battery_713_SoC","battery_713_SoH","battery_714_DCW","battery_714_DCWhAbs","battery_714_DCWhInj","battery_714_TotWhAbs","battery_714_TotWhInj","grid_200_DailyWhExp","grid_200_DailyWhImp","grid_200_IncWhExp","grid_200_IncWhImp","grid_200_TotWhExp","grid_200_TotWhImp","grid_200_W","inverter_701_DailyWhAbs","inverter_701_DailyWhInj","inverter_701_Hz","inverter_701_LNV","inverter_701_TotWhAbs","inverter_701_TotWhInj","inverter_701_W","load_200_DailyWhExp","load_200_DailyWhImp","load_200_IncWhExp","load_200_IncWhImp","load_200_TotWhExp","load_200_TotWhImp","load_200_W","pv_200_DailyWhExp","pv_200_IncWhExp","pv_200_IncWhImp","pv_200_TotWhExp","pv_200_TotWhImp","pv_200_W","pv_701_DailyWhAbs","pv_701_Hz","pv_701_IncWhAbs","pv_701_IncWhExp","pv_701_IncWhImp","pv_701_IncWhInj","pv_701_LNV","pv_701_TotWhAbs","pv_701_TotWhInj","pv_701_W","pv_714_DCW","pv_714_DCWhAbs","pv_714_DCWhInj","pv_714_IncDCWhAbs","pv_714_IncDCWhInj","time1d","time1mo","time1y","createdAtUTC"
"","400033526","400033526","tesla","2026-05-12 07:40:14.000","","","2","0","3,961,798","4,080,728","2","","","","0","","","0","","0","0","","14.23487544483986","","","","","","","","","0","0","13,997,442","11,884,463","561.4000244140625","","","","","","","","","","0","51","0","8,490,266.5","570.2000246047974","","1","0","11,589,222","0","6.800000190734863","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-13 04:29:06.8438162"
"","400032980","400032980","solaredge","2026-05-12 07:40:00.000","","","0","0","1,900,294","2,543,334","0","","","","0","","","0","","0","0","","0.24031240612796637","","","","","","","","","0","50","2,648,822","1,935,450","596.6669311523438","","","","","","","","","","0","48","0","1,592,881","594.5899047851562","","-2","0","1,455,021","0","-25.10719924629666","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:54:09.5282657"
"","400029108","400029108","enphase","2026-05-12 07:39:31.000","6,593","7,919","0","0","759,103","956,137","14","","","","0","","","0","","0","0","","","","","","","","","10,174","2,733","0","0","493,375","2,641,137","","","","","","","","","","14,280","0","0","0","3,780,843","","23,047","0","0","1,829,377","0","","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:48:59.0941121"
"","400033526","400033526","tesla","2026-05-12 07:35:49.000","","","2","0","3,961,796","4,080,728","0","","","","0","","","0","","0","0","","14.23487544483986","","","","","","","","","0","0","13,997,442","11,884,463","621.4000244140625","","","","","","","","","","0","181","0","8,490,215.5","632.8000240325928","","2","0","11,589,221","0","11.399999618530272","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:36:49.1550653"
"","400033526","400033526","tesla","2026-05-12 07:35:44.000","","","2","0","3,961,796","4,080,728","0","","","","0","","","0","","0","0","","14.23487544483986","","","","","","","","","0","0","13,997,442","11,884,463","561.4000244140625","","","","","","","","","","0","181","0","8,490,215.5","572.8000240325928","","2","0","11,589,221","0","11.399999618530272","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-13 04:29:06.8438162"
"","400032980","400032980","solaredge","2026-05-12 07:35:00.000","","","0","0","1,900,294","2,543,334","0","","","","0","","","0","","0","0","","0.24031240612796637","","","","","","","","","0","49","2,648,822","1,935,354","587.8800048828125","","","","","","","","","","0","47","0","1,592,881","567.3659057617188","","-2","0","1,455,021","0","-24.395839522127066","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:39:14.6372564"
"","400033526","400033526","tesla","2026-05-12 07:30:34.000","","","2","0","3,961,794","4,080,728","0","","","","0","","","0","","0","0","","14.23487544483986","","","","","","","","","0","0","13,997,442","11,884,463","3,746.39990234375","","","","","","","","","","0","96.5","0","8,490,034.5","3,752.599902153015","","0","0","11,589,219","0","6.199999809265137","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:31:43.3200206"
"","400033526","400033526","tesla","2026-05-12 07:30:29.000","","","2","0","3,961,794","4,080,728","0","","","","0","","","0","","0","0","","14.23487544483986","","","","","","","","","0","0","13,997,442","11,884,463","3,746.39990234375","","","","","","","","","","0","96.5","0","8,490,034.5","3,752.599902153015","","0","0","11,589,219","0","6.199999809265137","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-13 04:29:06.8438162"
"","400032980","400032980","solaredge","2026-05-12 07:30:00.000","","","0","0","1,900,294","2,543,334","0","","","","0","","","0","","0","0","","0.24031240612796637","","","","","","","","","0","51","2,648,822","1,935,304","591.4785766601562","","","","","","","","","","0","50","0","1,592,881","604.966064453125","","-1","0","1,455,021","0","-21.77407960034907","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:34:03.7536910"
"","400029108","400029108","enphase","2026-05-12 07:29:30.000","6,593","7,919","1,851","0","759,103","956,137","3,939","","","","0","","","0","","0","0","","30","100","","","","","","10,174","2,733","0","306","493,375","2,641,137","4,889","","","","","","","","","14,280","0","2,157","0","3,780,843","8,828","23,047","0","0","1,829,377","0","0","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:34:43.5025091"
"","400033526","400033526","tesla","2026-05-12 07:26:01.000","","","2","0","3,961,792","4,080,728","0","","","","0","","","0","","0","0","","14.23487544483986","","","","","","","","","0","0","13,997,442","11,884,463","579.7000122070312","","","","","","","","","","0","51","0","8,489,938","584.9000120162964","","2","0","11,589,219","0","5.199999809265137","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:26:53.7966030"
"","400033526","400033526","tesla","2026-05-12 07:25:13.000","","","2","0","3,961,792","4,080,728","0","","","","0","","","0","","0","0","","14.23487544483986","","","","","","","","","0","0","13,997,442","11,884,463","570.2000122070312","","","","","","","","","","0","51","0","8,489,938","576.8000121116638","","2","0","11,589,219","0","6.599999904632568","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-13 04:29:06.8438162"
"","400032980","400032980","solaredge","2026-05-12 07:25:00.000","","","0","0","1,900,294","2,543,334","0","","","","0","","","0","","0","0","","0.24031240612796637","","","","","","","","","0","58","2,648,822","1,935,254","594.1757202148438","","","","","","","","","","0","56","0","1,592,881","575.0634155273438","","-2","0","1,455,021","0","-22.552319273119792","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:29:19.1171383"
"","400033526","400033526","tesla","2026-05-12 07:20:45.000","","","1","0","3,961,790","4,080,728","0","","","","0","","","0","","0","0","","14.23487544483986","","","","","","","","","0","0","13,997,442","11,884,463","577.4000244140625","","","","","","","","","","0","49.5","0","8,489,887","585.0000243186951","","1","0","11,589,217","0","7.599999904632568","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:21:43.2451105"
"","400033526","400033526","tesla","2026-05-12 07:20:43.000","","","1","0","3,961,790","4,080,728","0","","","","0","","","0","","0","0","","14.23487544483986","","","","","","","","","0","0","13,997,442","11,884,463","560.5","","","","","","","","","","0","49.5","0","8,489,887","568.0999999046326","","1","0","11,589,217","0","7.599999904632568","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-13 04:29:06.8438162"
"","400032980","400032980","solaredge","2026-05-12 07:20:00.000","","","0","0","1,900,294","2,543,334","0","","","","0","","","0","","0","0","","0.24031240612796637","","","","","","","","","0","61","2,648,822","1,935,196","728.2498168945312","","","","","","","","","","0","60","0","1,592,881","709.663330078125","","-2","0","1,455,021","0","-19.743679746752605","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:24:12.8516649"
"","400033526","400033526","tesla","2026-05-12 07:15:33.000","","","2","0","3,961,789","4,080,728","0","","","","0","","","0","","0","0","","14.23487544483986","","","","","","","","","0","0","13,997,442","11,884,463","567.4000244140625","","","","","","","","","","0","50","0","8,489,837.5","574.6000242233276","","1","0","11,589,216","0","7.199999809265137","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:16:42.3983096"
"","400033526","400033526","tesla","2026-05-12 07:15:27.000","","","2","0","3,961,789","4,080,728","0","","","","0","","","0","","0","0","","14.23487544483986","","","","","","","","","0","0","13,997,442","11,884,463","567.4000244140625","","","","","","","","","","0","50","0","8,489,837.5","574.6000242233276","","1","0","11,589,216","0","7.199999809265137","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-13 04:29:06.8438162"
"","400032980","400032980","solaredge","2026-05-12 07:15:00.000","","","0","0","1,900,294","2,543,334","0","","","","0","","","0","","0","0","","0.24031240612796637","","","","","","","","","0","55","2,648,822","1,935,134","751.89892578125","","","","","","","","","","0","53","0","1,592,881","739.4110107421875","","-1","0","1,455,021","0","-7.688000202178955","","","0","","","0","","0","0","","","0","0","0","0","12","5","2,026","2026-05-12 07:19:02.8008570"
